,Time_s,Speaker,Probability,Country,Gender
0,0,Kevin Bacon,0.6986241,USA,m
1,0,Jeremy Clarkson,0.14229038,UK,m
2,0,Stephen Mangan,0.052038852,UK,m
0,1,Jeremy Clarkson,0.6324395,UK,m
1,1,Stephen Mangan,0.07130683,UK,m
2,1,Kevin Bacon,0.07005245,USA,m
0,2,Jeremy Clarkson,0.4417159,UK,m
1,2,Rowan Atkinson,0.10896459,UK,m
2,2,Costas Mandylor,0.08396704,Australia,m
0,3,Jeremy Clarkson,0.56175625,UK,m
1,3,Costas Mandylor,0.10275618,Australia,m
2,3,Mark Strong,0.05645724,UK,m
0,4,Rowan Atkinson,0.9150862,UK,m
1,4,Paddy Considine,0.025540167,UK,m
2,4,Lou Diamond Phillips,0.0059033907,USA,m
0,5,Rowan Atkinson,0.96654844,UK,m
1,5,Dan Stevens,0.01587152,UK,m
2,5,Stephen Mangan,0.009650829,UK,m
0,6,Rowan Atkinson,0.98951083,UK,m
1,6,Dan Stevens,0.0034780607,UK,m
2,6,John Lasseter,0.0016972277,USA,m
0,7,Rowan Atkinson,0.9804115,UK,m
1,7,James Purefoy,0.007151703,UK,m
2,7,Dan Stevens,0.0031663207,UK,m
0,8,Rowan Atkinson,0.9959383,UK,m
1,8,James Purefoy,0.00078394264,UK,m
2,8,Richard Ayoade,0.00032037013,UK,m
0,9,Rowan Atkinson,0.99666804,UK,m
1,9,Stephen Colbert,0.00037043545,USA,m
2,9,Richard Ayoade,0.00033765816,UK,m
0,10,Rowan Atkinson,0.98982877,UK,m
1,10,Stephen Colbert,0.0034664373,USA,m
2,10,Richard Ayoade,0.0017313444,UK,m
0,11,Rowan Atkinson,0.99441385,UK,m
1,11,Cliff Curtis,0.0013538175,New Zealand,m
2,11,John Lasseter,0.00074889965,USA,m
0,12,Rowan Atkinson,0.9949333,UK,m
1,12,Cliff Curtis,0.0026830975,New Zealand,m
2,12,John Lasseter,0.0004321945,USA,m
0,13,Rowan Atkinson,0.99825555,UK,m
1,13,Cliff Curtis,0.0002049438,New Zealand,m
2,13,John Lasseter,0.00017356752,USA,m
0,14,Rowan Atkinson,0.9985415,UK,m
1,14,Dan Stevens,0.0005613034,UK,m
2,14,Richard Ayoade,0.0003433568,UK,m
0,15,Rowan Atkinson,0.9862039,UK,m
1,15,Richard Ayoade,0.0050715287,UK,m
2,15,Dan Stevens,0.005018294,UK,m
0,16,Rowan Atkinson,0.42767015,UK,m
1,16,Dan Stevens,0.16566426,UK,m
2,16,Richard Ayoade,0.1036094,UK,m
0,17,Gordon Ramsay,0.6711129,UK,m
1,17,Jeremy Clarkson,0.23365341,UK,m
2,17,Danny Dyer,0.036937725,UK,m
0,18,Jeremy Clarkson,0.22848706,UK,m
1,18,Dan Aykroyd,0.1012588,Canada,m
2,18,Sean Pertwee,0.07091074,UK,m
0,19,Cliff Curtis,0.5468861,New Zealand,m
1,19,Richard Ayoade,0.0815726,UK,m
2,19,Rowan Atkinson,0.075951904,UK,m
0,20,Rowan Atkinson,0.5393771,UK,m
1,20,John Lasseter,0.19847457,USA,m
2,20,Cliff Curtis,0.065977074,New Zealand,m
0,21,Rowan Atkinson,0.9265614,UK,m
1,21,John Lasseter,0.028327424,USA,m
2,21,Cliff Curtis,0.008578425,New Zealand,m
0,22,Rowan Atkinson,0.9520184,UK,m
1,22,John Lasseter,0.025016692,USA,m
2,22,Steve Jobs,0.006203326,USA,m
0,23,Rowan Atkinson,0.7373473,UK,m
1,23,Stephen Mangan,0.18108028,UK,m
2,23,Kevin Bacon,0.052994616,USA,m
0,24,Jeremy Clarkson,0.291172,UK,m
1,24,Stephen Fry,0.13488093,UK,m
2,24,Paul McGann,0.072749205,UK,m
0,25,Jeremy Clarkson,0.21797596,UK,m
1,25,Stephen Mangan,0.18580297,UK,m
2,25,Paddy Considine,0.10216494,UK,m
0,26,Rowan Atkinson,0.85004896,UK,m
1,26,Paddy Considine,0.063152775,UK,m
2,26,Stephen Fry,0.033161856,UK,m
0,27,Rowan Atkinson,0.9964049,UK,m
1,27,Stephen Mangan,0.00081757363,UK,m
2,27,Paddy Considine,0.00081590685,UK,m
0,28,Rowan Atkinson,0.9840163,UK,m
1,28,Stephen Fry,0.006918798,UK,m
2,28,Bill Nighy,0.001217125,UK,m
0,29,Rowan Atkinson,0.9848489,UK,m
1,29,Paddy Considine,0.0044096587,UK,m
2,29,Stephen Mangan,0.0033352242,UK,m
0,30,Rowan Atkinson,0.9974285,UK,m
1,30,James Marsden,0.0005562434,USA,m
2,30,Stephen Mangan,0.00036803752,UK,m
0,31,Rowan Atkinson,0.9892999,UK,m
1,31,Dan Stevens,0.0059688445,UK,m
2,31,James Marsden,0.0013711763,USA,m
0,32,Rowan Atkinson,0.99782985,UK,m
1,32,Dan Stevens,0.0011562963,UK,m
2,32,John Lasseter,0.00019310716,USA,m
0,33,Rowan Atkinson,0.99450123,UK,m
1,33,Dan Stevens,0.0009940626,UK,m
2,33,Cliff Curtis,0.0009565661,New Zealand,m
0,34,Rowan Atkinson,0.99411255,UK,m
1,34,Stephen Mangan,0.0008436464,UK,m
2,34,James Marsden,0.0006644037,USA,m
0,35,Rowan Atkinson,0.98371464,UK,m
1,35,Dan Stevens,0.0029397923,UK,m
2,35,Stephen Mangan,0.0027017125,UK,m
0,36,Rowan Atkinson,0.9863955,UK,m
1,36,Stephen Mangan,0.0053168014,UK,m
2,36,Dan Stevens,0.0041324366,UK,m
0,37,Rowan Atkinson,0.9684983,UK,m
1,37,Dan Stevens,0.012568847,UK,m
2,37,Stephen Mangan,0.0073285056,UK,m
0,38,Rowan Atkinson,0.9632052,UK,m
1,38,Stephen Mangan,0.018337645,UK,m
2,38,Dan Stevens,0.01353657,UK,m
0,39,Rowan Atkinson,0.7938522,UK,m
1,39,Stephen Mangan,0.053846262,UK,m
2,39,Cliff Curtis,0.033455208,New Zealand,m
0,40,Rowan Atkinson,0.46947998,UK,m
1,40,John Lasseter,0.35959703,USA,m
2,40,Dan Stevens,0.024610661,UK,m
0,41,Rowan Atkinson,0.8739843,UK,m
1,41,John Lasseter,0.05037141,USA,m
2,41,John Francis Daley,0.012326023,USA,m
0,42,Rowan Atkinson,0.85850143,UK,m
1,42,John Lasseter,0.06887955,USA,m
2,42,Dan Stevens,0.014416638,UK,m
0,43,Rowan Atkinson,0.89738077,UK,m
1,43,John Lasseter,0.024496986,USA,m
2,43,Dan Stevens,0.016386371,UK,m
0,44,Rowan Atkinson,0.94224507,UK,m
1,44,Stephen Mangan,0.020925762,UK,m
2,44,Dan Stevens,0.008465394,UK,m
0,45,Rowan Atkinson,0.99482614,UK,m
1,45,Stephen Mangan,0.002692243,UK,m
2,45,Dan Stevens,0.00079412723,UK,m
0,46,Rowan Atkinson,0.9969393,UK,m
1,46,Dan Stevens,0.0009526882,UK,m
2,46,Rhys Darby,0.00045046117,New Zealand,m
0,47,Rowan Atkinson,0.9642169,UK,m
1,47,Dan Stevens,0.019600512,UK,m
2,47,John Lasseter,0.005259246,USA,m
0,48,Kevin Bacon,0.29938787,USA,m
1,48,Stephen Mangan,0.2312136,UK,m
2,48,Kate Walsh,0.05453236,USA,f
0,49,Jeremy Clarkson,0.47263458,UK,m
1,49,Gordon Ramsay,0.25165024,UK,m
2,49,Josh Radnor,0.027658027,USA,m
0,50,Gordon Ramsay,0.45972648,UK,m
1,50,Jeremy Clarkson,0.29595596,UK,m
2,50,Mark Strong,0.034214526,UK,m
0,51,Steven Berkoff,0.26063716,UK,m
1,51,Jeremy Clarkson,0.1433425,UK,m
2,51,Gilles Marini,0.10237053,Norway,m
0,52,Bruce Boxleitner,0.1976027,USA,m
1,52,Rik Mayall,0.13323729,UK,m
2,52,Sean Pertwee,0.081855044,UK,m
0,53,Sean Pertwee,0.29496297,UK,m
1,53,Rik Mayall,0.11280057,UK,m
2,53,Simon Callow,0.074408524,UK,m
0,54,Rik Mayall,0.13418171,UK,m
1,54,Fred Williamson,0.12735134,USA,m
2,54,Danny Dyer,0.12384963,UK,m
0,55,Fred Williamson,0.18117669,USA,m
1,55,John Amos,0.1450147,USA,m
2,55,Rik Mayall,0.05105727,UK,m
0,56,John Amos,0.14516065,USA,m
1,56,Nate Parker,0.09109791,USA,m
2,56,David Oyelowo,0.057234693,UK,m
0,57,Adam Copeland,0.2582679,Canada,m
1,57,Bruce Boxleitner,0.11273193,USA,m
2,57,Gary Busey,0.05526734,USA,m
0,58,Adam Copeland,0.28201747,Canada,m
1,58,Howie Mandel,0.17553172,Canada,m
2,58,Greg Grunberg,0.08557013,USA,m
0,59,Danny Dyer,0.5492211,UK,m
1,59,Alain Delon,0.2035854,Norway,m
2,59,Ray Winstone,0.024602903,UK,m
0,60,Danny Dyer,0.43705088,UK,m
1,60,Alain Delon,0.1500909,Norway,m
2,60,Michael C. Hall,0.080879524,USA,m
0,61,Gordon Ramsay,0.23299289,UK,m
1,61,Danny Dyer,0.20526128,UK,m
2,61,Steven Moffat,0.060100287,UK,m
0,62,Linda Gray,0.07022521,USA,f
1,62,Deidre Hall,0.057730295,USA,f
2,62,Michaela Conlin,0.05575182,USA,f
0,63,Miriam Margolyes,0.09159949,UK,f
1,63,Olivia Williams,0.079186946,UK,f
2,63,Finola Hughes,0.07324322,UK,f
0,64,Deidre Hall,0.20058413,USA,f
1,64,Drake Bell,0.16749556,USA,m
2,64,Olivia Williams,0.14578687,UK,f
0,65,Danny Dyer,0.30390254,UK,m
1,65,Don Rickles,0.12701102,USA,m
2,65,Rowan Atkinson,0.09984356,UK,m
0,66,Danny Dyer,0.5410432,UK,m
1,66,Jeremy Clarkson,0.11410356,UK,m
2,66,Iwan Rheon,0.08431107,UK,m
0,67,Danny Dyer,0.28330684,UK,m
1,67,Costas Mandylor,0.15153393,Australia,m
2,67,Gordon Ramsay,0.15016152,UK,m
0,68,Jake Abel,0.181308,USA,m
1,68,Iain Glen,0.12576744,UK,m
2,68,Mark Strong,0.10153391,UK,m
0,69,Stephen Fry,0.5921858,UK,m
1,69,Rowan Atkinson,0.09762501,UK,m
2,69,Bill Nighy,0.04865544,UK,m
0,70,Danny Dyer,0.36310095,UK,m
1,70,Ron Perlman,0.1015583,USA,m
2,70,Dick Van Dyke,0.09388846,USA,m
0,71,Ron Perlman,0.4130243,USA,m
1,71,Danny Dyer,0.2696275,UK,m
2,71,Costas Mandylor,0.041519027,Australia,m
0,72,Gordon Ramsay,0.42343178,UK,m
1,72,Ron Perlman,0.089547165,USA,m
2,72,Costas Mandylor,0.080201074,Australia,m
0,73,Gordon Ramsay,0.2843353,UK,m
1,73,Costas Mandylor,0.21668912,Australia,m
2,73,Derek Mears,0.07854849,USA,m
0,74,Costas Mandylor,0.32261294,Australia,m
1,74,Gordon Ramsay,0.2790763,UK,m
2,74,Jeremy Clarkson,0.1246997,UK,m
0,75,Jeremy Clarkson,0.23080613,UK,m
1,75,Costas Mandylor,0.22078656,Australia,m
2,75,Cedric the Entertainer,0.14544804,USA,m
0,76,Matt Lanter,0.18494618,USA,m
1,76,Paul Scheer,0.08411275,USA,m
2,76,Paul McGann,0.07373135,UK,m
0,77,Bruce Boxleitner,0.84579104,USA,m
1,77,Richard Dean Anderson,0.0101534175,USA,m
2,77,Roger Ebert,0.010111017,USA,m
0,78,Bruce Boxleitner,0.62493426,USA,m
1,78,Roger Ebert,0.0388113,USA,m
2,78,Richard Dean Anderson,0.022210158,USA,m
0,79,Sean Pertwee,0.2026571,UK,m
1,79,Bruce Boxleitner,0.12889804,USA,m
2,79,Linda Gray,0.039773177,USA,f
0,80,Sean Pertwee,0.32523042,UK,m
1,80,Bruce Boxleitner,0.06840997,USA,m
2,80,Danny Dyer,0.037977733,UK,m
0,81,Sean Pertwee,0.57491493,UK,m
1,81,Danny Dyer,0.036280964,UK,m
2,81,Mark Strong,0.028068926,UK,m
0,82,Sean Pertwee,0.39186427,UK,m
1,82,Matt Smith,0.089120515,UK,m
2,82,Richard Hammond,0.03247405,UK,m
0,83,Sean Pertwee,0.44021645,UK,m
1,83,Shane West,0.06400437,USA,m
2,83,Matt Smith,0.054304942,UK,m
0,84,Sean Pertwee,0.36121064,UK,m
1,84,David Attenborough,0.14334196,UK,m
2,84,Nate Parker,0.02499847,USA,m
0,85,Richard E. Grant,0.16354032,UK,m
1,85,Bill Pullman,0.13107447,USA,m
2,85,Steve Jobs,0.10049048,USA,m
0,86,Richard E. Grant,0.21653351,UK,m
1,86,Steve Jobs,0.18417779,USA,m
2,86,Bill Pullman,0.10338811,USA,m
0,87,Bill Pullman,0.23742463,USA,m
1,87,Richard E. Grant,0.22463588,UK,m
2,87,Steve Jobs,0.12588973,USA,m
0,88,Jeremy Clarkson,0.32378796,UK,m
1,88,Costas Mandylor,0.28924525,Australia,m
2,88,Joel Kinnaman,0.066353075,Sweden,m
0,89,Costas Mandylor,0.3200796,Australia,m
1,89,Jeremy Clarkson,0.31847984,UK,m
2,89,Stephen Mangan,0.13050433,UK,m
0,90,Costas Mandylor,0.345,Australia,m
1,90,Jeremy Clarkson,0.33141577,UK,m
2,90,Stephen Mangan,0.05403578,UK,m
0,91,Costas Mandylor,0.23697022,Australia,m
1,91,Jeremy Clarkson,0.1562634,UK,m
2,91,Stephen Mangan,0.14298752,UK,m
0,92,Jeremy Clarkson,0.2452717,UK,m
1,92,Ron Perlman,0.18759428,USA,m
2,92,Stephen Mangan,0.14229156,UK,m
0,93,Jeremy Clarkson,0.51561815,UK,m
1,93,Ron Perlman,0.14412948,USA,m
2,93,Stephen Mangan,0.106179394,UK,m
0,94,Jeremy Clarkson,0.8111156,UK,m
1,94,Ron Perlman,0.05680188,USA,m
2,94,Stephen Mangan,0.03997876,UK,m
0,95,Jeremy Clarkson,0.47638765,UK,m
1,95,Ron Perlman,0.28946,USA,m
2,95,Costas Mandylor,0.07697758,Australia,m
0,96,Jeremy Clarkson,0.27323774,UK,m
1,96,Mark Strong,0.24724245,UK,m
2,96,Stephen Mangan,0.17359221,UK,m
0,97,Gordon Ramsay,0.3016473,UK,m
1,97,Danny Dyer,0.2681579,UK,m
2,97,Mark Strong,0.23201624,UK,m
0,98,Jeremy Clarkson,0.4310997,UK,m
1,98,Mark Strong,0.31102753,UK,m
2,98,Gordon Ramsay,0.09851172,UK,m
0,99,Jeremy Clarkson,0.9489587,UK,m
1,99,Gordon Ramsay,0.015861573,UK,m
2,99,Mark Strong,0.008216713,UK,m
0,100,Jeremy Clarkson,0.8264197,UK,m
1,100,Neil deGrasse Tyson,0.034533206,USA,m
2,100,Goran Visnjic,0.024213698,Croatia,m
0,101,Jeremy Clarkson,0.86886054,UK,m
1,101,Rob Reiner,0.035575647,USA,m
2,101,Costas Mandylor,0.014136507,Australia,m
0,102,Jeremy Clarkson,0.21501955,UK,m
1,102,Jeffrey Wright,0.099158,USA,m
2,102,Steven Moffat,0.08726229,UK,m
0,103,Steven Moffat,0.14525269,UK,m
1,103,Richard Dean Anderson,0.06634959,USA,m
2,103,Diogo Morgado,0.06623279,Portugal,m
0,104,Michaela Conlin,0.11215916,USA,f
1,104,Bruce Boxleitner,0.10862532,USA,m
2,104,Tamsin Greig,0.07915271,UK,f
0,105,Paul Reubens,0.43123734,USA,m
1,105,Bruce Boxleitner,0.24947014,USA,m
2,105,Matthew Modine,0.09327331,USA,m
0,106,Rowan Atkinson,0.26243138,UK,m
1,106,Paul Reubens,0.15618259,USA,m
2,106,Bruce Boxleitner,0.09130281,USA,m
0,107,Bill Pullman,0.10408347,USA,m
1,107,Laverne Cox,0.07630088,USA,f
2,107,David Cassidy,0.06679179,USA,m
0,108,Steven Moffat,0.24653758,UK,m
1,108,Sam Waterston,0.11872831,USA,m
2,108,Gilles Marini,0.08335055,Norway,m
0,109,James Purefoy,0.10687931,UK,m
1,109,Bill Nighy,0.08963915,UK,m
2,109,Bruno Ganz,0.071183115,Switzerland,m
0,110,Bill Nighy,0.32706472,UK,m
1,110,Hans Zimmer,0.1907586,Germany,m
2,110,James Purefoy,0.124393076,UK,m
0,111,Sean Pertwee,0.14385945,UK,m
1,111,Kiefer Sutherland,0.12970926,Canada,m
2,111,Jack Davenport,0.10103245,UK,m
0,112,Jeremy Clarkson,0.4750952,UK,m
1,112,Sean Pertwee,0.20108357,UK,m
2,112,Costas Mandylor,0.065833464,Australia,m
0,113,Jeremy Clarkson,0.7317784,UK,m
1,113,Sean Pertwee,0.05080844,UK,m
2,113,Costas Mandylor,0.03794174,Australia,m
0,114,Steven Soderbergh,0.2864165,USA,m
1,114,Gilles Marini,0.27646992,Norway,m
2,114,Kevin Bacon,0.057801988,USA,m
0,115,John Lasseter,0.41666165,USA,m
1,115,Matthew Modine,0.11645019,USA,m
2,115,Steven Soderbergh,0.106648125,USA,m
0,116,John Lasseter,0.23863174,USA,m
1,116,Steven Soderbergh,0.10166231,USA,m
2,116,Matthew Modine,0.0630594,USA,m
0,117,Sean Pertwee,0.20632635,UK,m
1,117,Chris Martin,0.13315867,UK,m
2,117,Bill Nighy,0.1041842,UK,m
0,118,Sean Pertwee,0.6503236,UK,m
1,118,Costas Mandylor,0.06734882,Australia,m
2,118,Steven Berkoff,0.03956183,UK,m
0,119,Steven Berkoff,0.2601284,UK,m
1,119,Sean Pertwee,0.25617778,UK,m
2,119,Costas Mandylor,0.09143809,Australia,m
0,120,Jeremy Clarkson,0.5169938,UK,m
1,120,Costas Mandylor,0.12609053,Australia,m
2,120,Danny Dyer,0.08287156,UK,m
0,121,Jeremy Clarkson,0.9567456,UK,m
1,121,Ron Perlman,0.0078104427,USA,m
2,121,Danny Dyer,0.0061267843,UK,m
0,122,Jeremy Clarkson,0.9796259,UK,m
1,122,Ron Perlman,0.0057167774,USA,m
2,122,Gordon Ramsay,0.0037098918,UK,m
0,123,Jeremy Clarkson,0.96464026,UK,m
1,123,Ron Perlman,0.0064458116,USA,m
2,123,Costas Mandylor,0.0030224514,Australia,m
0,124,Jeremy Clarkson,0.88232964,UK,m
1,124,Costas Mandylor,0.06268524,Australia,m
2,124,Mark Strong,0.011668135,UK,m
0,125,Jeremy Clarkson,0.4037915,UK,m
1,125,Brian Dennehy,0.20341492,USA,m
2,125,Costas Mandylor,0.08879338,Australia,m
0,126,Jeremy Clarkson,0.21571818,UK,m
1,126,Danny Dyer,0.1452886,UK,m
2,126,Gilles Marini,0.13143128,Norway,m
0,127,Gordon Ramsay,0.3765336,UK,m
1,127,Kiefer Sutherland,0.20421779,Canada,m
2,127,Michael C. Hall,0.05479401,USA,m
0,128,Gordon Ramsay,0.49159324,UK,m
1,128,Kiefer Sutherland,0.23633376,Canada,m
2,128,Josh Duhamel,0.049559813,USA,m
0,129,Gordon Ramsay,0.53403604,UK,m
1,129,Stephen Fry,0.060457535,UK,m
2,129,Mark Strong,0.048109196,UK,m
0,130,Danny Dyer,0.57165444,UK,m
1,130,Costas Mandylor,0.12425244,Australia,m
2,130,Stephen Lang,0.047859035,USA,m
0,131,Danny Dyer,0.30918217,UK,m
1,131,Timothy Spall,0.2254586,UK,m
2,131,Costas Mandylor,0.045098495,Australia,m
0,132,Grant Bowler,0.3468779,Australia,m
1,132,Ajay Devgn,0.19660285,India,m
2,132,Stephen Lang,0.085615866,USA,m
0,133,Dean Cain,0.2208036,USA,m
1,133,Ralf Little,0.1521842,UK,m
2,133,Gwendoline Christie,0.10279663,UK,f
0,134,Rik Mayall,0.11563458,UK,m
1,134,Adam Copeland,0.0649415,Canada,m
2,134,Lou Ferrigno,0.053649038,USA,m
0,135,Lou Ferrigno,0.13976479,USA,m
1,135,Rik Mayall,0.07434138,UK,m
2,135,Tom Selleck,0.043273766,USA,m
0,136,Lou Ferrigno,0.21122696,USA,m
1,136,Tom Selleck,0.06345808,USA,m
2,136,Kevin Clash,0.056463037,USA,m
0,137,RZA,0.40516537,USA,m
1,137,Jim Jefferies,0.23030026,USA,m
2,137,Rik Mayall,0.052278586,UK,m
0,138,RZA,0.4312998,USA,m
1,138,Jim Jefferies,0.1415468,USA,m
2,138,Rik Mayall,0.09678732,UK,m
0,139,Costas Mandylor,0.35751382,Australia,m
1,139,Danny Dyer,0.17429133,UK,m
2,139,RZA,0.11394334,USA,m
0,140,Rik Mayall,0.3003508,UK,m
1,140,Jean-Marc Barr,0.27668765,USA,m
2,140,Sean Pertwee,0.25633195,UK,m
0,141,Jean-Marc Barr,0.23473294,USA,m
1,141,James Purefoy,0.172971,UK,m
2,141,Stephen Merchant,0.096589155,UK,m
0,142,James Purefoy,0.46962664,UK,m
1,142,Rob Reiner,0.08712084,USA,m
2,142,Gordon Ramsay,0.08089552,UK,m
0,143,Rob Reiner,0.19094096,USA,m
1,143,Costas Mandylor,0.11899257,Australia,m
2,143,Jeremy Clarkson,0.09897954,UK,m
0,144,Costas Mandylor,0.12376489,Australia,m
1,144,Jeremy Clarkson,0.119732,UK,m
2,144,David Tennant,0.10317257,UK,m
0,145,Gordon Ramsay,0.14970587,UK,m
1,145,Seth MacFarlane,0.10092636,USA,m
2,145,John Cleese,0.08024336,UK,m
0,146,Steven Moffat,0.20659614,UK,m
1,146,Gordon Ramsay,0.1531953,UK,m
2,146,Seth MacFarlane,0.12304418,USA,m
0,147,Steven Moffat,0.394065,UK,m
1,147,Jeremy Clarkson,0.3259084,UK,m
2,147,Danny Dyer,0.094034985,UK,m
0,148,Jeremy Clarkson,0.8744118,UK,m
1,148,Costas Mandylor,0.021125268,Australia,m
2,148,Danny Dyer,0.020891739,UK,m
0,149,Jeremy Clarkson,0.77189434,UK,m
1,149,Gordon Ramsay,0.146744,UK,m
2,149,Costas Mandylor,0.008983601,Australia,m
0,150,Gordon Ramsay,0.26244116,UK,m
1,150,Stephen Fry,0.209241,UK,m
2,150,Jeremy Clarkson,0.04835094,UK,m
0,151,Rowan Atkinson,0.9599517,UK,m
1,151,Preity Zinta,0.007190062,India,f
2,151,Richard E. Grant,0.004296175,UK,m
0,152,Rowan Atkinson,0.98991185,UK,m
1,152,John Lasseter,0.002014657,USA,m
2,152,Jeremy Piven,0.0011077703,USA,m
0,153,Rowan Atkinson,0.9441896,UK,m
