,Time_s,Speaker,Probability,Country,Gender
0,0,Milla Jovovich,0.5599212,Russia,f
1,0,Sharon Gless,0.121789694,USA,f
2,0,Maggie Gyllenhaal,0.029408755,USA,f
0,1,Maggie Gyllenhaal,0.099206544,USA,f
1,1,Smokey Robinson,0.07799988,USA,m
2,1,Jet Li,0.07255697,Singapore,m
0,2,Dawn French,0.15739287,UK,f
1,2,Alexz Johnson,0.09143064,Canada,f
2,2,Kathie Lee Gifford,0.0675794,USA,f
0,3,Monica Raymund,0.12183441,USA,f
1,3,Sherri Saum,0.068991244,USA,f
2,3,Alexz Johnson,0.04352707,Canada,f
0,4,Callan McAuliffe,0.19959399,Australia,m
1,4,Maria Menounos,0.16165625,USA,f
2,4,Karla Souza,0.07924432,Mexico,f
0,5,Xavier Samuel,0.13357458,Australia,m
1,5,Suraj Sharma,0.10183378,India,m
2,5,Stanley Tucci,0.07534134,USA,m
0,6,Quentin Tarantino,0.694464,USA,m
1,6,Dean Cain,0.05617235,USA,m
2,6,Zach Galifianakis,0.050910216,USA,m
0,7,Quentin Tarantino,0.26539004,USA,m
1,7,Zach Galifianakis,0.2554966,USA,m
2,7,Harry Connick Jr.,0.20255053,USA,m
0,8,Zach Galifianakis,0.26625073,USA,m
1,8,Harry Connick Jr.,0.25488406,USA,m
2,8,Quentin Tarantino,0.13326947,USA,m
0,9,Zach Galifianakis,0.59081554,USA,m
1,9,Harry Connick Jr.,0.20311573,USA,m
2,9,Walton Goggins,0.023865553,USA,m
0,10,Zach Galifianakis,0.21400002,USA,m
1,10,Brad Paisley,0.16242345,USA,m
2,10,John Lloyd Young,0.16046879,USA,m
0,11,Zach Galifianakis,0.6564954,USA,m
1,11,Tom Kenny,0.12310609,USA,m
2,11,Andrew Rannells,0.047945213,USA,m
0,12,Zach Galifianakis,0.5149709,USA,m
1,12,Harry Connick Jr.,0.33421612,USA,m
2,12,Tom Kenny,0.022202644,USA,m
0,13,Zach Galifianakis,0.7508346,USA,m
1,13,Harry Connick Jr.,0.102886945,USA,m
2,13,Tristan Wilds,0.04642129,USA,m
0,14,Zach Galifianakis,0.3805777,USA,m
1,14,Aaron Tveit,0.29264066,USA,m
2,14,Tristan Wilds,0.1163202,USA,m
0,15,Aaron Tveit,0.6015936,USA,m
1,15,Zach Galifianakis,0.1480606,USA,m
2,15,Matthew Morrison,0.032466136,USA,m
0,16,Sung Kang,0.15565649,USA,m
1,16,Steven Yeun,0.14390655,USA,m
2,16,Harry Shum Jr.,0.10707238,USA,m
0,17,Sung Kang,0.4368714,USA,m
1,17,Steve Carell,0.24687965,USA,m
2,17,Jack Lemmon,0.04898505,USA,m
0,18,Steve Carell,0.9265377,USA,m
1,18,Sung Kang,0.0128951445,USA,m
2,18,Jack Lemmon,0.012235453,USA,m
0,19,Steve Carell,0.9269129,USA,m
1,19,Jeremy Shada,0.0098452885,USA,m
2,19,Steven Yeun,0.009742808,USA,m
0,20,Steve Carell,0.8878786,USA,m
1,20,Chris Colfer,0.03379071,USA,m
2,20,Jon Huertas,0.008910349,USA,m
0,21,Steve Carell,0.8592811,USA,m
1,21,Steven Yeun,0.03402925,USA,m
2,21,Chris Colfer,0.031622883,USA,m
0,22,Steve Carell,0.9111744,USA,m
1,22,Chris Colfer,0.029499028,USA,m
2,22,Steven Yeun,0.012161644,USA,m
0,23,Steve Carell,0.3351416,USA,m
1,23,Steven Yeun,0.06514938,USA,m
2,23,Ruby Dee,0.047511384,USA,f
0,24,Roger Ebert,0.47150788,USA,m
1,24,Marla Gibbs,0.113375604,USA,f
2,24,Phyllis Diller,0.044448707,USA,f
0,25,Roger Ebert,0.16710481,USA,m
1,25,Stevie Wonder,0.10138774,USA,m
2,25,Bob Barker,0.07503677,USA,m
0,26,Ken Jeong,0.5544023,USA,m
1,26,David Cassidy,0.102059744,USA,m
2,26,Steve Carell,0.08092479,USA,m
0,27,Steve Carell,0.76808196,USA,m
1,27,Ken Jeong,0.06473279,USA,m
2,27,Brett Davern,0.030274991,USA,m
0,28,Steve Carell,0.8477946,USA,m
1,28,Brett Davern,0.033153504,USA,m
2,28,Ken Jeong,0.030020872,USA,m
0,29,Ryan Kwanten,0.20621085,Australia,m
1,29,Seth Meyers,0.082434714,USA,m
2,29,Mario Casas,0.0768149,Spain,m
0,30,Zach Galifianakis,0.2951108,USA,m
1,30,Steven Yeun,0.28162193,USA,m
2,30,Johnny Galecki,0.06455043,USA,m
0,31,Zach Galifianakis,0.27118915,USA,m
1,31,Jet Li,0.14790688,Singapore,m
2,31,Steven Yeun,0.07867984,USA,m
0,32,Zach Galifianakis,0.14839384,USA,m
1,32,Jet Li,0.14287518,Singapore,m
2,32,Johnny Galecki,0.059320867,USA,m
0,33,Laverne Cox,0.28560507,USA,f
1,33,John Lasseter,0.114611916,USA,m
2,33,John Lloyd Young,0.09093756,USA,m
0,34,Maria Menounos,0.16191073,USA,f
1,34,Dominic Cooper,0.06691869,UK,m
2,34,Steve Carell,0.065461345,USA,m
0,35,Jordan Gavaris,0.3170607,Canada,m
1,35,Dominic Cooper,0.1440029,UK,m
2,35,Robert Pattinson,0.09335455,UK,m
0,36,Jack Coleman,0.20378157,USA,m
1,36,Steve Carell,0.10432313,USA,m
2,36,Dominic Cooper,0.09308408,UK,m
0,37,Jack Coleman,0.33280638,USA,m
