,Time_s,Speaker,Probability,Country,Gender
0,0,Gwendoline Christie,0.21029198,UK,f
1,0,Deidre Hall,0.103251666,USA,f
2,0,Zach Braff,0.035480503,USA,m
0,1,Gwendoline Christie,0.0868528,UK,f
1,1,Shirley Manson,0.08589141,UK,f
2,1,Randolph Mantooth,0.0734966,USA,m
0,2,Gwendoline Christie,0.09306054,UK,f
1,2,Shirley Manson,0.09207052,UK,f
2,2,John Carroll Lynch,0.048369385,USA,m
0,3,Bill Nighy,0.1319689,UK,m
1,3,Gwendoline Christie,0.06753972,UK,f
2,3,Shirley Manson,0.067259185,UK,f
0,4,Gwendoline Christie,0.21451849,UK,f
1,4,Geena Davis,0.046823364,USA,f
2,4,Della Reese,0.03732432,USA,f
0,5,Steve Jobs,0.3059942,USA,m
1,5,Richard E. Grant,0.12507443,UK,m
2,5,Zach Braff,0.06149537,USA,m
0,6,Ralph Macchio,0.21720067,USA,m
1,6,Steve Jobs,0.15794122,USA,m
2,6,James Cromwell,0.0906821,USA,m
0,7,David Attenborough,0.2107026,UK,m
1,7,John Cleese,0.098540716,UK,m
2,7,Steve Jobs,0.08435051,USA,m
0,8,David Attenborough,0.5715322,UK,m
1,8,Ralf Little,0.08620041,UK,m
2,8,Glen Hansard,0.039908644,Ireland,m
0,9,Ralf Little,0.3279093,UK,m
1,9,Andrew Garfield,0.09996248,USA,m
2,9,Jim Caviezel,0.08770526,USA,m
0,10,Gwendoline Christie,0.13053538,UK,f
1,10,Robert Pattinson,0.08528792,UK,m
2,10,Tilda Swinton,0.074876145,UK,f
0,11,Gwendoline Christie,0.28401056,UK,f
1,11,Stevie Wonder,0.08950755,USA,m
2,11,Gates McFadden,0.05563168,USA,f
0,12,Sienna Guillory,0.11132023,UK,f
1,12,Stevie Wonder,0.102583714,USA,m
2,12,Moritz Bleibtreu,0.08534966,Germany,m
0,13,Moritz Bleibtreu,0.31684425,Germany,m
1,13,Sienna Guillory,0.08796467,UK,f
2,13,Thandie Newton,0.06829544,UK,f
0,14,Tom Bergeron,0.1730863,USA,m
1,14,Sienna Guillory,0.13502373,UK,f
2,14,Moritz Bleibtreu,0.088928804,Germany,m
0,15,Jason Segel,0.5611117,USA,m
1,15,Alex Trebek,0.05642651,USA,m
2,15,Josh Duhamel,0.055346947,USA,m
0,16,Rainn Wilson,0.54150814,USA,m
1,16,Jason Segel,0.11445942,USA,m
2,16,Ben McKenzie,0.057377703,USA,m
0,17,Rainn Wilson,0.6643543,USA,m
1,17,Richard Ayoade,0.119266465,UK,m
2,17,Ben Whishaw,0.042897925,UK,m
0,18,Rainn Wilson,0.4432468,USA,m
1,18,Ben Whishaw,0.08606328,UK,m
2,18,Lou Diamond Phillips,0.07826301,USA,m
0,19,Rainn Wilson,0.79145086,USA,m
1,19,Jennifer Beals,0.024336344,USA,f
2,19,Jeremy Piven,0.012362092,USA,m
0,20,Sung Kang,0.12338318,USA,m
