,HorizontalLength(ft),StageSpacing(ft),ProppantIntensity(llb_ft),ProppantConcentration(llb_gal),Bg,iso,Sw,Phi,Depth-TrueVertical(ft),Pressure,FluidType_LABELS
HorizontalLength(ft),1.0,0.12850055824423046,0.042297037654174,0.2310039042102924,0.06856608974936475,-0.17233861883585966,0.0545429201516272,0.10510918293120053,-0.011066779435269982,0.08011683500969935,0.018438294315062997
StageSpacing(ft),0.12850055824423046,1.0,-0.6478464327815017,0.15304445372566697,0.18342573985813596,-0.25458570165068506,0.03177407432453928,-0.06055768790122321,-0.13129053030014803,0.20848556111318256,-0.19796901134532516
ProppantIntensity(llb_ft),0.042297037654174,-0.6478464327815017,1.0,0.14995939995555574,-0.30177756946516804,0.3543072643209641,-0.002448537053466502,0.03436996943626828,0.24817346773657847,-0.25890810878474313,0.12652193835653405
ProppantConcentration(llb_gal),0.2310039042102924,0.15304445372566697,0.14995939995555574,1.0,0.27631353799238456,-0.3646801142871015,0.2023712828227416,0.1532022630609574,-0.14435333142894247,0.22996266617781674,0.010734249397289033
Bg,0.06856608974936475,0.18342573985813596,-0.30177756946516804,0.27631353799238456,1.0,-0.7614732533735744,0.06117246403491367,0.060333196797046754,-0.7624226314071942,0.3091935734713782,-0.06170767130088726
iso,-0.17233861883585966,-0.25458570165068506,0.3543072643209641,-0.3646801142871015,-0.7614732533735744,1.0,-0.3375927365352809,-0.03830267675173357,0.6225638487733816,-0.5326629849747335,0.0991816227927252
Sw,0.0545429201516272,0.03177407432453928,-0.002448537053466502,0.2023712828227416,0.06117246403491367,-0.3375927365352809,1.0,-0.05257484377139198,0.10381852542546874,0.3833675055271587,0.007147269070997913
Phi,0.10510918293120053,-0.06055768790122321,0.03436996943626828,0.1532022630609574,0.060333196797046754,-0.03830267675173357,-0.05257484377139198,1.0,-0.1844564706845475,-0.06042104604881705,0.09592809387267431
Depth-TrueVertical(ft),-0.011066779435269982,-0.13129053030014803,0.24817346773657847,-0.14435333142894247,-0.7624226314071942,0.6225638487733816,0.10381852542546874,-0.1844564706845475,1.0,-0.11371043753047934,0.046600709752752614
Pressure,0.08011683500969935,0.20848556111318256,-0.25890810878474313,0.22996266617781674,0.3091935734713782,-0.5326629849747335,0.3833675055271587,-0.06042104604881705,-0.11371043753047934,1.0,-0.08841459087386777
FluidType_LABELS,0.018438294315062997,-0.19796901134532516,0.12652193835653405,0.010734249397289033,-0.06170767130088726,0.0991816227927252,0.007147269070997913,0.09592809387267431,0.046600709752752614,-0.08841459087386777,1.0
