,Dependence,HorizontalLength(ft),StageSpacing(ft),ProppantIntensity(llb_ft),ProppantConcentration(llb_gal),Bg,iso,Sw,Phi,Depth-TrueVertical(ft),Pressure,FluidType_LABELS
HorizontalLength(ft),0.41980526942306073,1.0,0.058448388499055204,0.09924712527616553,0.09425893116615269,0.03476757836079303,0.5385913565957838,0.20875359320573805,0.02262563915550808,0.13831574407592373,0.08781757438713411,0.017229728924189613
StageSpacing(ft),0.7978405997636935,0.02331496542253908,1.0,1.254726863423879,0.21557430609976946,0.06842188299652563,0.059571019981630724,0.04861125979491421,0.0318458261556509,0.0047473082875088,0.00793046158043409,0.021753914437591226
ProppantIntensity(llb_ft),0.7353503914497974,0.0053711109199156,1.2668710894793984,1.0,0.3205161539269453,0.020910993092405183,0.024517244567735963,0.005596784384942932,0.008948276816860723,0.00631652341743516,0.004777051413403788,0.0033034908351682324
ProppantConcentration(llb_gal),0.588567010522952,0.007579115028033434,0.21985791072530614,0.5566373193739094,1.0,0.03410612301556171,0.3202646406502865,0.19179765670571447,0.0323835701413846,0.06892364080826197,0.034127670320917236,0.001613185662837635
Bg,-0.0017214712959430223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iso,0.9772802958140738,0.0007913980836720125,0.0016208125553796027,-5.07023775413451e-05,0.0007336289623846026,1.272970624535857,1.0,0.048509309984172244,0.04757192785596609,0.11276743064466377,0.14174901860858502,0.0002545596305781883
Sw,0.8292717875972992,0.03859404957584944,0.012586927716301544,0.021847515563454767,0.0049778583349182615,0.6821691189078806,0.7297609331769814,1.0,0.1305574135151195,0.1130127902585627,0.2979423130044192,0.00642839834822051
Phi,0.8629123188957034,0.0032580877872585567,0.04168632164849895,0.003057533130756518,0.013760471711318778,0.5421502405292775,0.5991936303091553,0.606493531732722,1.0,0.15871203803103684,0.16870664057003049,0.005955944388535417
Depth-TrueVertical(ft),0.904809242127894,0.007886303414039397,0.004045726392228555,0.002356577397474413,0.010508657812422051,0.5584277086509762,0.9839909793834901,0.11921887258516772,0.08563018542756895,1.0,0.17079729141212252,0.0010978156973431297
Pressure,0.9100543678705624,0.0017892944331544536,0.02599108912516679,0.0022464925025271754,0.03048632761731651,0.34470350880667855,0.7748977616542548,0.42903844318228523,0.055167220266152395,0.22774698914794334,1.0,0.0012152297495331421
FluidType_LABELS,0.1638025783896464,0.042194677326840235,0.1422561367111317,0.020085453794047692,0.050647980638672596,0.013757108978331267,0.04308793569007341,0.04785860727139801,0.06602421555831195,0.028669195931260938,0.062393376054554084,1.0
