,HorizontalLength(ft),StageSpacing(ft),ProppantIntensity(llb_ft),ProppantConcentration(llb_gal),FluidIntensity(gal_ft),Bg,iso,Sw,Phi,Depth-TrueVertical(ft),Pressure,FluidType_LABELS
HorizontalLength(ft),1.0,0.15900778174305252,0.007501510451850284,0.2453583735385329,-0.14063020895581124,0.025487881518418232,-0.22732858350477939,0.13133668042377172,0.07153492710595236,-0.016367057518525064,0.13896129846314711,-0.00816749242513882
StageSpacing(ft),0.15900778174305252,1.0,-0.759129430314772,0.27525896949623224,-0.7686613937366948,0.25719273550099736,-0.3730960749760795,0.14166149889437663,-0.0499526025155353,-0.1969625303623357,0.29243380207531045,-0.20295119161950567
ProppantIntensity(llb_ft),0.007501510451850284,-0.759129430314772,1.0,-0.009387448045899284,0.8152213189550582,-0.32871432951435386,0.38599865920314663,-0.1286145361053697,0.03932711655504736,0.2708497221205679,-0.27069595809621616,0.10904113245114784
ProppantConcentration(llb_gal),0.2453583735385329,0.27525896949623224,-0.009387448045899284,1.0,-0.5262860446877878,0.18613309589906454,-0.4390309309106524,0.3217016464262518,0.08205074943628018,-0.09949089881993137,0.34938807956339246,-0.03526239261192889
FluidIntensity(gal_ft),-0.14063020895581124,-0.7686613937366948,0.8152213189550582,-0.5262860446877878,1.0,-0.4285159385140497,0.5615748374244025,-0.28764135156427084,-0.026783398040441532,0.33127828277442756,-0.37571715623262386,0.09710027390985784
Bg,0.025487881518418232,0.25719273550099736,-0.32871432951435386,0.18613309589906454,-0.4285159385140497,1.0,-0.5873526146855733,0.2893708696739233,0.03501850877842263,-0.7626109085097607,0.21307502530468872,-0.03411845936422594
iso,-0.22732858350477939,-0.3730960749760795,0.38599865920314663,-0.4390309309106524,0.5615748374244025,-0.5873526146855733,1.0,-0.5667120328121074,-0.11722353027089744,0.6092178472192437,-0.49072393390962465,0.07302971482505642
Sw,0.13133668042377172,0.14166149889437663,-0.1286145361053697,0.3217016464262518,-0.28764135156427084,0.2893708696739233,-0.5667120328121074,1.0,-0.09776171912306493,-0.0753659865309143,0.4853687816553845,-0.06575317092510889
Phi,0.07153492710595236,-0.0499526025155353,0.03932711655504736,0.08205074943628018,-0.026783398040441532,0.03501850877842263,-0.11722353027089744,-0.09776171912306493,1.0,-0.14132763982654373,0.004770538364314298,0.10010199314337691
Depth-TrueVertical(ft),-0.016367057518525064,-0.1969625303623357,0.2708497221205679,-0.09949089881993137,0.33127828277442756,-0.7626109085097607,0.6092178472192437,-0.0753659865309143,-0.14132763982654373,1.0,-0.10419147035512434,0.01541763215410712
Pressure,0.13896129846314711,0.29243380207531045,-0.27069595809621616,0.34938807956339246,-0.37571715623262386,0.21307502530468872,-0.49072393390962465,0.4853687816553845,0.004770538364314298,-0.10419147035512434,1.0,-0.10001504430775028
FluidType_LABELS,-0.00816749242513882,-0.20295119161950567,0.10904113245114784,-0.03526239261192889,0.09710027390985784,-0.03411845936422594,0.07302971482505642,-0.06575317092510889,0.10010199314337691,0.01541763215410712,-0.10001504430775028,1.0
