,Dependence,HorizontalLength(ft),StageSpacing(ft),ProppantIntensity(llb_ft),ProppantConcentration(llb_gal),FluidIntensity(gal_ft),Bg,iso,Sw,Phi,Depth-TrueVertical(ft),Pressure,FluidType_LABELS
HorizontalLength(ft),0.4103097920257559,1.0,0.09034085647847434,0.07960879205447136,0.08787982168369202,0.025045868416751493,0.025005711386782314,0.5243089341208755,0.17741923329143716,0.025760323728918122,0.15308143818866404,0.13002196999291749,0.00876770743762112
StageSpacing(ft),0.8134538877677775,0.028663812895200702,1.0,0.4878353934009064,0.024245670723217483,0.40548396767129713,0.05568987495243005,0.11210078518481581,0.05271214350923936,0.035811445114139584,0.004552213620678258,0.015390781490403849,0.020117604162022018
ProppantIntensity(llb_ft),0.9502679114723168,0.0007965720225081574,0.025697549857199964,1.0,0.6877422833661785,2.171620009818069,0.00028090427341231905,-3.8826532541169634e-05,-0.0005175753910316994,-0.000156539870268535,0.00019730848371357634,0.0006709578766018742,0.000198925832092689
ProppantConcentration(llb_gal),0.8926307688949329,0.00017718551641121572,0.0072247630065316315,2.198943067378192,1.0,2.680622613592984,0.00965979121271654,0.011499707484915356,0.010288902336904826,0.008680780168849989,0.00822892469657921,0.015825883100192728,0.0003891178158585973
FluidIntensity(gal_ft),0.9678396247541579,0.00021578815768918957,0.07303348901022555,0.8723061741144759,0.4220523531898105,1.0,0.000751159256735523,0.0007757457297742354,0.0002843913330045078,0.0005274695146175734,0.000877827154273314,0.0003735756747034191,-9.887361545724005e-06
Bg,-0.0019257143550353018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iso,0.977826885174549,0.0008271106997933542,0.0011091071837576738,0.00025809762413120385,0.0008553038354738307,0.0008045790019893806,1.263739473394211,1.0,0.046869542020125166,0.05197349158911568,0.10084640446592608,0.13521765323526824,-1.796102599371796e-05
Sw,0.846622354810252,0.01849648126777148,0.013169530426214604,0.0025637279060080065,0.007733280867149528,0.028716612275391573,0.5945566234784526,0.8959494706158355,1.0,0.10637737162897887,0.14357173859015293,0.32132559098316316,0.013278113799417124
Phi,0.8579923550273714,0.004955659368458987,0.04949813618065502,0.0016894052402077753,0.018648659876519535,0.019239699977944613,0.5047758403985518,0.6321678626108688,0.5236175450889913,1.0,0.12775496424839117,0.1578348346066495,0.006497452569293682
Depth-TrueVertical(ft),0.9030272631010233,0.005037364361764274,0.005359420908725543,0.0022318845888705807,0.011381947903998046,0.003647284062237799,0.6024091910314302,0.8747146787484096,0.13398982861681086,0.0816968148121282,1.0,0.15033616806439443,0.000582897883865563
Pressure,0.9111159532271026,0.001146214848518512,0.022158835576153835,0.001177069455183255,0.030290296881056555,0.002745755171787656,0.34127191345571106,0.728025428636648,0.42874183539810173,0.06921869554888516,0.19392155481236795,1.0,0.0009677701962758078
FluidType_LABELS,0.14192243383539438,0.017737692187639653,0.13199736155750175,0.01583349714450022,0.025012007977353923,0.012637316012599875,0.00010440651753929053,0.03837075259808931,0.023806417625701348,0.058270934320095336,0.020260632508264043,0.03349013494487596,1.0
